title,summary,n_enrolled,course_type,Level,subject,language,course_length,price,price_level
"Batteries, Fuel Cells, and their Role in Modern Society",This course is an introduction to batteries and fuel cells - the cornerstones of electromobility and renewable energy.,11865,Self-paced on your time,Introductory,Science,English,6,49,Low
Communication Skills for Dialoguing Across Difference,Develop practical communication skills to mend divides and build a more tolerant and inclusive world.,60943,Self-paced on your time,Introductory,Communication,English,1,25,Low
Social Media: How Media Got Social,"Discover where social media came from, how it became integral to our everyday lives, and how that has changed the way we communicate.",13616,Self-paced on your time,Introductory,Communication,English,4,139,Medium
"Portfolio Management, Governance, & the PMO","Learn how a Project Management Office (PMO) works, discover techniques to monitor and control projects and find out how to keep your project portfolio healthy.",17299,Self-paced on your time,Introductory,Business & Management,English,6,199,High
edX101: Overview of Creating an edX Course,A quick course designed to help you explore all of the different steps that go into planning and building an edX course. Perfect for instructors or institutional leadership interested in building a MOOC on edX.,22327,Self-paced on your time,Introductory,Education & Teacher Training,English,1,99,Medium
"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",,0,Self-paced on your time,Introductory,Education & Teacher Training,Español,4,49,Low
Data Analysis for Decision Making,"Use data analysis to gather critical business insights, identify market trends before your competitors, and gain advantages for your business.",8342,Instructor-led on a course schedule,Advanced,Business & Management,English,7,214,High
UML Class Diagrams for Software Engineering,Learn how unified modeling language (UML) class diagrams are created and used to visualize and conceptualize the design of a system.,33710,Self-paced on your time,Introductory,Computer Science,English,3,49,Low
Driving Digital Innovation through Experimentation,"Learn how to apply principles of experimentation at the technical, organizational and strategic levels of your business to drive digital innovation.",16904,Instructor-led on a course schedule,Advanced,Computer Science,English,6,399,High
Compilation Basics for Macroeconomic Statistics,"Better data leads to better policies.For policymakers to make sound policy decisions, they need a core set of macroeconomic and financial statistics. Learn the essential background concepts and basic tools needed to compile data using the best available methods.",6570,Self-paced on your time,Introductory,Data Analysis & Statistics,English,4,25,Low
Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,Conoce los principales retos y herramientas de seguridad vial en America Latina y el Caribe. ¡Un curso de la region para la region con expertos de mas de 10 paises!,20189,Self-paced on your time,Introductory,Engineering,Español,10,25,Low
From Fossil Resources to Biomass: A Chemistry Perspective,"Explore how to create a sustainable future by moving away from dependence on fossil resources to biomass resources for the production of food, chemicals and energy-carriers. Discover how to use microorganisms and catalysts to create biobased products.",5464,Self-paced on your time,Advanced,Energy & Earth Sciences,English,5,149,Medium
System Dynamics for Health Sciences,Learn to use system dynamics to better understand complex medical issues and interventions.,15157,Self-paced on your time,Intermediate,Medicine,English,9,139,Medium
Internet de las cosas (IoT) y Big Data,"En este curso en línea aprenderas a desarrollar sistemas completos y escalables en IoT con el uso del Big Data y asi enriquece tu perfil profesional con una perspectiva global, bajo una de las tecnologías de mayor demanda en la actualidad.",0,Self-paced on your time,Intermediate,Data Analysis & Statistics,Español,4,49,Low
Introducción a Ciencias de Datos y Estadística Básica para Negocios,"En este curso adquirirás los métodos estadísticos para la toma de decisiones en los negocios, así como herramientas tecnológicas para desarrollar habilidades cuantitativas.",0,Self-paced on your time,Advanced,Data Analysis & Statistics,Español,4,49,Low
Introduction to Psychological Research Methods,"Learn how to plan, conduct and analyze psychological research and effectively communicate the results.",17087,Self-paced on your time,Introductory,Humanities,English,7,99,Medium
Sustainable Packaging in a Circular Economy,Learn how to apply the principles of the circular economy to sustainable packaging systems.,6277,Self-paced on your time,Intermediate,Design,English,6,50,Low
Design in Healthcare: Using Patient Journey Mapping,Learn about the Patient Journey Mapping method for innovative product and service design in healthcare.,17946,Self-paced on your time,Introductory,Design,English,8,129,Medium
"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa","Desde el Manejo de plagas nos centraremos en definir el Monitoreo como un seguimiento secuencial en un período de tiempo, realizando muestreos de los mismos. Realizando un relevamiento y registro de la información pertinente con el objetivo de definir el manejo sanitario de un cultivo.",0,Self-paced on your time,Intermediate,Biology & Life Sciences,Español,4,99,Medium
"Electronic, Optical, and Magnetic Properties of Materials",This course is part of a XSeries Program,9717,Instructor-led on a course schedule,Advanced,Engineering,English,15,150,Medium
La España del Quijote,,13277,Self-paced on your time,Introductory,History,Español,7,19,Low
Risk Management for Projects,Learn how to manage risk in your organization by using the best processes and procedures.,22269,Self-paced on your time,Introductory,Business & Management,English,5,199,High
Smithsonian’s Objects That Define America,"Explore the history of America through the view of key historic objects, inventions, and exhibits in the Smithsonian collections.",9071,Self-paced on your time,Introductory,Humanities,English,5,50,Low
Creating Modern China: The Republican Period to the Present,Explore the birth of modern China with a focus on the time between the fall of the Qing and the end of World War II.,43045,Self-paced on your time,Introductory,History,English,15,139,Medium
Discover Political Science,Understand current political stakesas you learn about important concepts and how to analyze politics with a critical point of view.,6573,Instructor-led on a course schedule,Intermediate,Social Sciences,English,10,50,Low
Data Science: Inferential Thinking through Simulations,"Learn how to test hypotheses, draw inferences, and make robust conclusions based on data.",17505,Self-paced on your time,Introductory,Computer Science,English,5,199,High
Programming for Data Science,"Learn how to apply fundamental programming concepts, computational thinking and data analysis techniques to solve real-world data science problems.",41268,Self-paced on your time,Introductory,Computer Science,English,10,199,High
Public Sector Debt Statistics,"The course examines coverage and accounting rules for public sector debt, valuation, classification, important methodological issues, and the sources and methods used for compiling the statistics.",0,Self-paced on your time,Intermediate,Economics & Finance,English,6,25,Low
Sensor Fusion and Non-linear Filtering for Automotive Systems,Learn fundamental algorithms for sensor fusion and non-linear filtering with application to automotive perception systems.,9709,Instructor-led on a course schedule,Advanced,Engineering,English,6,299,High
Creación musical con Soundcool: Introducción,"Aprende los conceptos básicos para poder usar el sistema Soundcool para educación musical y creación colaborativa mediante móviles, tablets y Kinect.",0,Self-paced on your time,Introductory,Music,Español,5,30,Low
First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,"Learn about Hector Berlioz's Symphonie Fantastique, an iconic Romantic symphony that ushered in an era of narrative ""program music.""",8222,Self-paced on your time,Introductory,Humanities,English,3,49,Low
The Quantum Internet and Quantum Computers: How Will They Change the World?,Discover quantum computers and the quantum internet. Learn the principles and promises behind these developments and how they will impact our future.,15014,Self-paced on your time,Introductory,Science,English,6,50,Low
Research Methods: An Engineering Approach,Learn how to successfully design your research and understand the underlying principles of postgraduate research from an engineering perspective.,20444,Self-paced on your time,Introductory,Engineering,English,8,169,High
Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,,15349,Self-paced on your time,Introductory,Philosophy & Ethics,Español,5,49,Low
Rise to Leadership: Become a CEO,Do you have what it takes to be a CEO? This courseexplores the key competencies that make the best CEOs effective leaders.,16719,Self-paced on your time,Intermediate,Business & Management,English,4,199,High
Building a Cybersecurity Toolkit,Develop a set of skills and characteristics that expand beyond technical proficiency to become a successful cybersecurity professional.,23275,Self-paced on your time,Introductory,Computer Science,English,6,199,High
Marketing your Android apps,"Creating and designing marketing activities to promote, monetize and increase the number of your app users.",0,Self-paced on your time,Intermediate,Engineering,English,5,49,Low
Embedded Systems Essentials with Arm: Getting Started,Get practical without hardware. Quickly prototype and build microcontroller projects using industry-standard APIs.,0,Self-paced on your time,Intermediate,Computer Science,English,6,149,Medium
Life with Diabetes,"Learn how to confidently manage your diabetes and live a healthy, happy life.",12318,Self-paced on your time,Introductory,Medicine,English,5,139,Medium
Human Reproduction,"Let’s talk about all things relating to human reproduction - from puberty to menopause, to fertility and contraception.",5517,Self-paced on your time,Intermediate,Biology & Life Sciences,English,6,169,High
Enabling Technologies for Data Science and Analytics: The Internet of Things,Discover the relationship between Big Data and the Internet of Things (IoT).,71290,Self-paced on your time,Introductory,Computer Science,English,5,99,Medium
Astrophysics: Exploring Exoplanets,Explore the mysteries of exoplanets - planets around other stars – in this introductory astrophysics course.,48539,Self-paced on your time,Intermediate,Physics,English,9,50,Low
Unconventional Reservoir Geomechanics,This course covers the geophysical and engineering concepts needed to understand the recovery of hydrocarbons from extremely low permeability unconventional oil and gas reservoirs.,0,Self-paced on your time,Introductory,Energy & Earth Sciences,English,10,129,Medium
Strategic Account Management,"Learn the sought-after skills required to effectively maintain, retain and grow existing enterprise partnerships and customers.",0,Self-paced on your time,Introductory,Business & Management,English,6,149,Medium
PyTorch Basics for Machine Learning,"This course is the first part in a two part course and will teach you the fundamentals of PyTorch. In this course you will implement classic machine learning algorithms, focusing on how PyTorch creates and optimizes models. You will quickly iterate through different aspects of PyTorch giving you strong foundations and all the prerequisites you need before you build deep learning models.",0,Self-paced on your time,Introductory,Data Analysis & Statistics,English,5,39,Low
